2025-03-23 13:59:40 [main] INFO  c.e.project.SbEcomApplication -Starting SbEcomApplication using Java 21.0.5 with PID 10604 (D:\Sprin Com\Ecommerce-application-master\target\classes started by Sidarth in D:\Sprin Com\Ecommerce-application-master)
2025-03-23 13:59:40 [main] INFO  c.e.project.SbEcomApplication -No active profile set, falling back to 1 default profile: "default"
2025-03-23 13:59:42 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-23 13:59:42 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 189 ms. Found 10 JPA repository interfaces.
2025-03-23 13:59:43 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port 8080 (http)
2025-03-23 13:59:44 [main] INFO  o.a.coyote.http11.Http11NioProtocol -Initializing ProtocolHandler ["http-nio-8080"]
2025-03-23 13:59:44 [main] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
2025-03-23 13:59:44 [main] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/10.1.31]
2025-03-23 13:59:44 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
2025-03-23 13:59:44 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 3610 ms
2025-03-23 13:59:44 [main] INFO  o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-23 13:59:44 [main] INFO  org.hibernate.Version -HHH000412: Hibernate ORM core version 6.5.3.Final
2025-03-23 13:59:44 [main] INFO  o.h.c.i.RegionFactoryInitiator -HHH000026: Second-level cache disabled
2025-03-23 13:59:45 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo -No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-23 13:59:45 [main] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Starting...
2025-03-23 13:59:46 [main] INFO  com.zaxxer.hikari.pool.HikariPool -HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5315266
2025-03-23 13:59:46 [main] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Start completed.
2025-03-23 13:59:46 [main] WARN  org.hibernate.orm.deprecation -HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-03-23 13:59:48 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator -HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-03-23 13:59:49 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-23 13:59:50 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer -Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2025-03-23 13:59:50 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer -Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
